regime,a_error_sd,b_error_sd,participant,t,learn_auc,transfer_auc
lazy_50,8,0,sim_study1_near_sub23,265,499.64673291589844,4223.4688808319515
lazy_50,8,0,sim_study1_near_sub37,221,0.0,1591.9396252750928
lazy_50,8,0,sim_study1_near_sub36,637,0.0,497.46060078620013
lazy_50,8,0,sim_study2_near_sub68,306,185.58993793975068,657.2987029233767
lazy_50,8,0,sim_study2_near_sub42,200,0.0,1829.3999611931886
lazy_50,8,0,sim_study1_near_sub34,468,506.5310451491898,1130.380978412831
lazy_50,8,0,sim_study1_near_sub21,287,359.46750482883954,1246.1596792922403
lazy_50,8,0,sim_study1_near_sub35,626,381.58043754601556,132.17960718294887
lazy_50,8,0,sim_study2_near_sub43,736,361.0736342314644,235.13631812850554
lazy_50,8,0,sim_study2_near_sub57,306,410.40354033449,1290.527335385061
lazy_50,8,0,sim_study2_near_sub53,239,123.40473687554669,1168.5665442373397
lazy_50,8,0,sim_study2_near_sub47,208,0.0,3391.6157529056163
